_id,name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,first_review,last_review,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,Total_review_scores_per,Country,Country_Code,Latitude,Longitude,host_id,host_identity_verified,host_location,host_name,host_response_rate,host_total_listings_count,availability_30,availability_365,availability_60,availability_90
10317142,Private OceanFront - Bathtub Beach. Spacious House,House,Entire home/apt,Real Bed,3,1125,Strict,06-03-2019 05:00,24-01-2016 05:00,19-02-2019 05:00,14,4,10,32,4,795,1000,345,0,1,53,United States,US,21.63549,-157.91952,53086419,FALSE,United States,Noah,50,1,10,229,17,26
10324377,Suíte em local tranquilo e seguro,House,Private room,Real Bed,1,1125,moderate,11-02-2019 05:00,24-01-2016 05:00,20-08-2016 04:00,1,1,1,0,1,101,400,100,50,1,0,Brazil,BR,-22.94836549,-43.33496705,53127432,FALSE,Brazil,Renato,100,7,22,357,52,82
10332161,A large sunny bedroom,Apartment,Private room,Real Bed,3,1125,moderate,06-03-2019 05:00,05-08-2016 04:00,20-08-2016 04:00,1,1,1,2,1,35,0,0,0,1,43,United States,US,40.85598,-73.90052,53169195,TRUE,United States,Ehssan,0,1,0,0,0,0
10343118,Best location 1BR Apt in HK - Shops & Sights,Apartment,Entire home/apt,Real Bed,1,60,Strict,11-03-2019 04:00,09-02-2016 05:00,06-02-2019 05:00,4,1,2,145,2,997,1000,380,160,2,53,Hong Kong,HK,22.29663,114.17088,2657469,TRUE,Hong Kong,Simon,98,17,20,170,50,80
10354347,Room For Erasmus,Apartment,Private room,Real Bed,1,1125,flexible,18-02-2019 05:00,27-12-2017 05:00,27-12-2017 05:00,2,1,1,1,2,37,0,0,0,1,0,Turkey,TR,40.98837,29.06064,53288729,FALSE,Turkey,Kemal,100,1,30,365,60,90
1036027,BBC OPORTO 4X2,Apartment,Entire home/apt,Real Bed,3,1125,flexible,16-02-2019 05:00,17-04-2014 04:00,30-12-2018 05:00,8,4,8,71,2,100,0,0,0,1,44,Portugal,PT,41.16246,-8.60069,3104922,FALSE,Spain,Cristina,100,3,0,264,10,15
10373872,Apartamento Mobiliado - Lgo do Machado,Apartment,Entire home/apt,Real Bed,30,365,Strict,11-02-2019 05:00,17-04-2014 04:00,04-02-2019 05:00,4,1,2,0,2,149,1000,60,40,2,0,Brazil,BR,-22.9317159,-43.17888629,15152328,TRUE,Brazil,Marcelo,100,7,0,316,11,41
1038163,luxury apartment in istanbul taxsim,Apartment,Entire home/apt,Real Bed,2,1125,Strict,18-02-2019 05:00,18-04-2013 04:00,04-02-2019 05:00,4,2,3,135,2,269,0,60,42,3,48,Turkey,TR,41.03326,28.98538,5386341,TRUE,Turkey,Osman,100,10,17,317,36,55
10381879,Pousada das Colonias,Bed and breakfast,Private room,Real Bed,1,1125,Strict,11-02-2019 05:00,18-09-2016 04:00,03-02-2019 05:00,2,1,1,9,1,138,0,0,70,2,58,Brazil,BR,-23.0046334,-43.30897458,48463017,TRUE,Brazil,Lidia Maria,90,4,28,347,58,88
10383490,Quarto Taquara - Jacarepaguá,Apartment,Private room,Real Bed,2,1125,Strict,11-02-2019 05:00,16-05-2016 04:00,16-05-2016 04:00,2,1,1,1,2,101,128,120,20,1,60,Brazil,BR,-22.91636184,-43.3703522,3026612,FALSE,Brazil,Luana,0,2,30,365,60,90
